UI Physical buttons  All off: 
2021-10-19T16:52:53.248055063+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> received Zigbee message: < ZigbeeMessageRx || type: 0x00, < AddressHeader || src_addr: 0x04BA, src_endpoint: 0x0B, dest_addr: 0x0000, dest_endpoint: 0x01, profile: 0x0104, cluster: OnOff >, lqi: 0x70, rssi: -72, body_length: 0x0007, < ZCLMessageBody || < ZCLHeader || frame_ctrl: 0x08, seqno: 0x04, ZCLCommandId: 0x0A >, < ReportAttribute || < AttributeRecord || AttributeId: 0x0000, DataType: Boolean, OnOff: false > > > >
2021-10-19T16:52:53.262408903+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T16:52:53.270010035+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T16:52:53.277292341+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
2021-10-19T16:52:53.284148767+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_multi_switch : false
2021-10-19T16:52:53.291140595+00:00 TRACE zigbee-tuya-switch  Found ZigbeeMessageDispatcher handler in zigbee-tuya-switch
2021-10-19T16:52:53.296574310+00:00 INFO zigbee-tuya-switch  Executing ZclClusterAttributeValueHandler: cluster: OnOff, attribute: OnOff
2021-10-19T16:52:53.303775576+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> emitting event: {"capability_id":"switch","state":{"value":"off"},"attribute_id":"switch","component_id":"main"}
2021-10-19T16:52:53.319450076+00:00 DEBUG zigbee-tuya-switch  Luce Bagno giorno device thread event handled
2021-10-19T16:53:22.794156592+00:00 TRACE zigbee-tuya-switch  Received event with handler zigbee health polllistening for logs... /  Key 2 pressed (ON):
2021-10-19T16:54:37.139104935+00:00 TRACE zigbee-tuya-switch  Received event with handler zigbee
2021-10-19T16:54:37.166533268+00:00 INFO zigbee-tuya-switch  <ZigbeeDevice: a1fc1da6-8daa-45fa-abae-9866f3f7b34b [0x04BA] (Luce Bagno giorno)> received Zigbee message: < ZigbeeMessageRx || type: 0x00, < AddressHeader || src_addr: 0x04BA, src_endpoint: 0x0C, dest_addr: 0x0000, dest_endpoint: 0x01, profile: 0x0104, cluster: OnOff >, lqi: 0x94, rssi: -63, body_length: 0x0007, < ZCLMessageBody || < ZCLHeader || frame_ctrl: 0x08, seqno: 0x6E, ZCLCommandId: 0x0A >, < ReportAttribute || < AttributeRecord || AttributeId: 0x0000, DataType: Boolean, OnOff: true > > > >
2021-10-19T16:54:37.202270935+00:00 INFO zigbee-tuya-switch  <<---- Moon ---->> is_one_switch : false
